DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),14,8,7,8,ST. AGNES MEDICAL CENTER #100899,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",3,4,0,1,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,173,178,188,231,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,162,143,183,189,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,9,6,9,7,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,14,3,6,1,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to Court/Law Enforcement,5,3,5,3,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,65,72,87,126,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,40,31,46,77,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Expired,20,37,21,36,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Left against medical advice or discontinued care,607,568,504,477,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Other,0,1,0,0,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Discharged home with hospice care,5,6,4,4,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged to a medical facility with hospice care,2,1,1,1,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged to home or self care (routine discharge),14723,14995,14935,14876,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,0,0,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),31,6,10,8,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,65,54,76,66,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,250,285,249,251,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,3,3,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to Court/Law Enforcement,45,57,55,49,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,26,24,35,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,73,77,88,123,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Expired,33,35,25,45,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Left against medical advice or discontinued care,967,1138,1088,1225,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Discharged home with hospice care,4,1,3,1,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged to a medical facility with hospice care,2,0,2,1,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged to home or self care (routine discharge),6723,7193,7020,6635,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,1,0,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),3,0,2,2,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,0,1,1,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,50,52,78,67,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,176,185,181,179,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,2,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,1,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,1,1,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to Court/Law Enforcement,59,56,63,54,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,23,26,13,2,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,25,19,6,7,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Expired,10,5,8,10,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Left against medical advice or discontinued care,349,330,260,287,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Discharged to a medical facility with hospice care,1,2,0,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged to home or self care (routine discharge),10969,11723,11696,12240,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,0,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,2,4,4,3,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),5,6,5,9,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a federal health care facility,3,0,0,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),3,2,3,2,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,1,1,2,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,56,58,45,47,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,40,46,23,24,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,1,1,1,1,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,276,252,212,262,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to Court/Law Enforcement,40,42,61,66,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,1,1,2,5,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,2,1,0,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,0,1,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,11,6,5,19,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Expired,36,34,24,33,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Left against medical advice or discontinued care,1084,1028,1064,941,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Other,32,15,19,14,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Discharged home with hospice care,0,2,2,2,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged to a medical facility with hospice care,1,0,2,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged to home or self care (routine discharge),6108,6144,6411,6445,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,1,3,1,1,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),4,1,1,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
"Discharged/Transferred to a Nursing Facility certified under Medicaid (Medi-Cal), but not certified under Medicare with a Planned Acute Care Hospital Inpatient Readmission",0,0,0,1,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,54,39,25,47,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,113,142,138,145,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,4,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to Court/Law Enforcement,14,14,18,13,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,9,13,10,10,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,9,11,17,7,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Expired,4,2,4,1,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Left against medical advice or discontinued care,78,132,128,119,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Other,0,2,5,3,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Discharged home with hospice care,5,2,5,6,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged to a medical facility with hospice care,1,1,0,4,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged to home or self care (routine discharge),11778,11626,11654,11930,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,10,5,7,4,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,0,0,0,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,0,1,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,156,150,120,136,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,2,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,173,150,160,158,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,1,1,0,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,0,5,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to Court/Law Enforcement,188,188,226,194,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,15,21,26,20,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,22,19,20,22,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,1,1,0,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Expired,8,13,12,11,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Left against medical advice or discontinued care,369,445,394,418,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Other,1,0,1,0,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Discharged home with hospice care,4,8,3,10,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged to a medical facility with hospice care,5,7,10,5,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged to home or self care (routine discharge),19750,20466,19224,18709,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,2,8,0,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,4,0,4,3,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),19,21,13,6,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,1,0,1,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Federal Health Care Facility with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),4,6,9,5,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Medicare certified Long Term Care Hospital (LTCH) with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,0,0,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,136,141,129,132,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,242,244,244,234,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,7,0,4,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,2,8,8,5,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to an Inpatient Rehabilitation Facility (IRF) including Rehabilitation Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,11,15,13,19,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to Court/Law Enforcement,13,18,8,12,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,46,107,152,96,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,169,233,215,200,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,3,3,2,0,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Expired,40,48,59,42,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Left against medical advice or discontinued care,640,779,861,630,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Discharged home with hospice care,0,0,2,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged to a medical facility with hospice care,0,1,0,0,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged to home or self care (routine discharge),9718,10022,9397,9080,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),0,1,1,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH) with a Planned Acute Care Hospital Inpatient Readmission,1,2,2,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,0,2,2,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,7,4,3,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a Medicare certified Long Term Care Hospital (LTCH) with a Planned Acute Care Hospital Inpatient Readmission,0,1,1,0,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",1,0,0,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
"Discharged/Transferred to a Nursing Facility certified under Medicaid (Medi-Cal), but not certified under Medicare with a Planned Acute Care Hospital Inpatient Readmission",0,1,0,0,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,17,2,7,5,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,2,0,19,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,0,6,4,0,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,2,2,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,188,138,154,158,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list with a Planned Acute Care Hospital Inpatient Readmission,1,3,4,5,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to Court/Law Enforcement,30,18,31,21,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,6,9,5,5,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,5,3,1,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,2,6,4,1,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Expired,12,2,8,12,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Left against medical advice or discontinued care,84,97,116,112,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Other,0,31,24,2,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Discharged home with hospice care,2,2,3,1,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged to a medical facility with hospice care,0,2,2,2,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged to home or self care (routine discharge),9914,10814,10775,11134,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),2,4,2,5,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,4,5,0,4,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),4,5,6,11,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes intermediate care facility) with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed with a Planned Acute Care Hospital Inpatient Readmission,0,1,1,0,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,2,0,0,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,25,32,56,20,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,105,102,92,96,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,11,9,5,13,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,0,3,0,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,9,5,11,12,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to Court/Law Enforcement,210,197,204,170,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,1,1,5,5,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,7,6,15,7,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,48,46,53,41,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged/Transferred to Skilled Nursing Facility (SNF) with Medicare Certification with a Planned Acute Care Hospital Inpatient Readmission,0,0,2,0,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Expired,16,21,10,12,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Left against medical advice or discontinued care,342,366,438,394,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Discharged to home or self care (routine discharge),5095,4957,5047,5252,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),33,23,24,17,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),0,2,2,3,ST. ROSE HOSPITAL #010967,Emergency Department
"Discharged/Transferred to a nursing facility certified under Medicaid (Medi-Cal), but not certified under Medicare",0,1,1,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,81,84,73,78,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a Psychiatric Hospital or Psychiatric Distinct Part Unit of a Hospital with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,96,82,107,117,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,0,1,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,2,1,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to Court/Law Enforcement,44,38,52,47,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to Court/Law Enforcement with a Planned Acute Care Hospital Inpatient Readmission,2,0,0,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,0,0,1,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,1,1,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,22,13,22,18,ST. ROSE HOSPITAL #010967,Emergency Department
Expired,18,24,27,26,ST. ROSE HOSPITAL #010967,Emergency Department
Not Provided/Blank,2,0,0,0,ST. ROSE HOSPITAL #010967,Emergency Department
Discharged home with hospice care,3,6,7,6,STANFORD HEALTH CARE #430905,Emergency Department
Discharged to a medical facility with hospice care,0,1,4,2,STANFORD HEALTH CARE #430905,Emergency Department
