EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Health Maintenance Organization (HMO) Medicare Risk,819,789,811,831,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Medicaid (Medi-Cal),404,367,425,366,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Medicare Part B,318,333,356,348,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Preferred Provider Organization (PPO),386,413,418,421,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Self Pay,1,5,3,3,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Veterans Affairs Plan,12,8,7,5,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Workers' Compensation Health Claim,58,82,73,76,SAN ANTONIO REGIONAL HOSPITAL #361318,Ambulatory Surgery
Blue Cross/Blue Shield,51,39,57,24,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
CHAMPUS (TRICARE),1,1,2,0,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Commercial Insurance Company,29,35,36,82,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Health Maintenance Organization,146,185,218,120,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,94,59,96,133,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Medicaid (Medi-Cal),0,1,0,10,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Medicare Part B,15,14,30,10,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Preferred Provider Organization (PPO),44,31,52,16,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Self Pay,0,1,0,2,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Workers' Compensation Health Claim,18,16,2,2,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Other,0,0,0,1,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Other federal program,0,0,0,1,SAN DIMAS COMMUNITY HOSPITAL #190673,Ambulatory Surgery
Blue Cross/Blue Shield,70,93,82,86,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
CHAMPUS (TRICARE),1,0,0,0,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Exclusive Provider Organization (EPO),6,10,10,10,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Health Maintenance Organization,248,222,193,204,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,102,88,118,118,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Medicaid (Medi-Cal),2,0,4,3,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Medicare Part B,58,75,72,57,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Preferred Provider Organization (PPO),7,3,2,5,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Self Pay,0,2,1,0,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Workers' Compensation Health Claim,1,0,1,1,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Other,1,0,2,0,SAN GABRIEL VALLEY MEDICAL CENTER #190200,Ambulatory Surgery
Blue Cross/Blue Shield,29,40,23,23,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Commercial Insurance Company,5,2,0,2,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Health Maintenance Organization,45,41,43,39,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,130,114,98,78,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Medicaid (Medi-Cal),46,31,46,43,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Medicare Part B,50,47,41,24,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Preferred Provider Organization (PPO),31,37,28,14,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Workers' Compensation Health Claim,3,1,1,1,SAN GORGONIO MEMORIAL HOSPITAL #331326,Ambulatory Surgery
Commercial Insurance Company,33,32,58,30,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,27,45,37,34,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Medicaid (Medi-Cal),608,663,732,642,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Medicare Part B,104,100,99,87,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Self Pay,1,4,4,6,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Workers' Compensation Health Claim,5,5,8,3,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Other Non-federal programs,325,316,322,391,SAN JOAQUIN GENERAL HOSPITAL #391010,Ambulatory Surgery
Medicaid (Medi-Cal),173,177,143,121,SAN JOSE DENTAL SURGERY CENTER #434201,Ambulatory Surgery
Preferred Provider Organization (PPO),20,25,17,23,SAN JOSE DENTAL SURGERY CENTER #434201,Ambulatory Surgery
Self Pay,0,2,1,2,SAN JOSE DENTAL SURGERY CENTER #434201,Ambulatory Surgery
Blue Cross/Blue Shield,2,0,0,1,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Commercial Insurance Company,1,2,0,2,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,92,86,98,58,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Medicaid (Medi-Cal),698,655,692,445,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Medicare Part B,78,66,69,38,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Self Pay,3,3,6,13,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Other,0,0,2,2,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Other Non-federal programs,27,35,24,21,SAN MATEO MEDICAL CENTER #410782,Ambulatory Surgery
Blue Cross/Blue Shield,1,0,0,0,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
CHAMPUS (TRICARE),4,4,5,3,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Commercial Insurance Company,22,22,27,21,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Exclusive Provider Organization (EPO),3,6,6,1,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Health Maintenance Organization,91,111,111,102,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,153,162,149,163,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Medicaid (Medi-Cal),11,6,5,4,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Medicare Part B,495,407,414,436,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Point of Service (POS),46,62,42,64,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Preferred Provider Organization (PPO),267,299,273,307,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Self Pay,10,8,2,6,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Workers' Compensation Health Claim,21,23,27,37,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Other,0,0,0,1,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
Other Non-federal programs,0,0,1,1,SAN RAMON REGIONAL MEDICAL CENTER #074017,Ambulatory Surgery
CHAMPUS (TRICARE),0,0,1,0,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Commercial Insurance Company,5,9,11,16,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Health Maintenance Organization,9,14,23,19,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,328,385,345,316,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Medicaid (Medi-Cal),519,567,549,466,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Medicare Part B,1138,1113,1101,1044,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Point of Service (POS),1,4,2,1,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Preferred Provider Organization (PPO),564,638,660,690,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Self Pay,31,32,30,25,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Workers' Compensation Health Claim,16,19,14,13,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Other,0,0,0,1,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Other federal program,48,45,35,38,SANTA BARBARA COTTAGE HOSPITAL #420514,Ambulatory Surgery
Blue Cross/Blue Shield,21,34,30,24,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Commercial Insurance Company,227,238,281,293,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Health Maintenance Organization,817,968,1071,875,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,8,14,22,13,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Medicaid (Medi-Cal),3268,3740,4550,3717,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Medicare Part A,2,0,1,5,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Medicare Part B,907,962,1200,989,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Point of Service (POS),38,33,39,45,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Preferred Provider Organization (PPO),60,62,54,78,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Self Pay,24,0,36,23,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Title V,49,61,61,45,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Veterans Affairs Plan,1,0,0,0,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Workers' Compensation Health Claim,9,15,15,13,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Other,11,32,3,9,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Other Non-federal programs,67,68,83,88,SANTA CLARA VALLEY MEDICAL CENTER #430883,Ambulatory Surgery
Blue Cross/Blue Shield,2,0,2,1,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
CHAMPUS (TRICARE),44,55,51,46,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Commercial Insurance Company,203,217,235,241,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Health Maintenance Organization,1242,1371,1501,1385,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,416,484,485,445,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Medicaid (Medi-Cal),264,326,314,286,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Medicare Part B,1475,1555,1712,1601,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Point of Service (POS),0,0,1,0,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Preferred Provider Organization (PPO),2205,2376,2583,2589,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Self Pay,12,7,14,13,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Veterans Affairs Plan,0,0,1,1,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Workers' Compensation Health Claim,18,21,25,15,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Other,13,18,21,12,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Ambulatory Surgery
Commercial Insurance Company,0,2,1,0,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,22,29,20,21,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Medicaid (Medi-Cal),14,15,13,5,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Medicare Part B,94,82,91,73,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Point of Service (POS),0,1,0,0,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Preferred Provider Organization (PPO),33,60,46,46,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Other federal program,2,2,4,2,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Ambulatory Surgery
Blue Cross/Blue Shield,433,418,463,499,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
CHAMPUS (TRICARE),131,128,112,105,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Commercial Insurance Company,2,1,2,3,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Exclusive Provider Organization (EPO),152,137,150,135,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Health Maintenance Organization,397,434,440,471,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,31,26,42,46,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Medicaid (Medi-Cal),22,18,33,27,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Medicare Part B,1650,1539,1441,1459,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Point of Service (POS),394,410,399,442,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Preferred Provider Organization (PPO),1581,1571,1528,1699,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Self Pay,26,19,25,25,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Veterans Affairs Plan,7,6,5,5,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Workers' Compensation Health Claim,0,1,2,0,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Other,28,25,16,24,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
Other federal program,3,1,2,4,SCRIPPS GREEN HOSPITAL #371256,Ambulatory Surgery
CHAMPUS (TRICARE),63,62,58,58,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Commercial Insurance Company,120,122,90,96,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Exclusive Provider Organization (EPO),54,47,47,40,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Health Maintenance Organization,80,115,108,91,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,1,0,0,2,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Medicare Part B,786,833,711,613,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Point of Service (POS),122,116,105,107,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Preferred Provider Organization (PPO),359,350,339,310,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Self Pay,4,6,7,2,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Workers' Compensation Health Claim,0,2,0,0,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Other federal program,0,1,0,1,SCRIPPS HEALTH ASC JEFFERSON #370642,Ambulatory Surgery
Blue Cross/Blue Shield,99,98,97,109,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
CHAMPUS (TRICARE),25,35,18,34,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Commercial Insurance Company,2,1,1,1,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Exclusive Provider Organization (EPO),35,40,25,27,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Health Maintenance Organization,124,121,120,134,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,166,154,179,194,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Medicaid (Medi-Cal),312,359,314,334,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Medicare Part B,474,475,425,384,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Point of Service (POS),66,80,77,94,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Preferred Provider Organization (PPO),320,336,367,331,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Self Pay,13,12,4,8,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Veterans Affairs Plan,13,13,8,5,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Workers' Compensation Health Claim,11,18,23,15,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Other,5,4,1,1,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Ambulatory Surgery
Blue Cross/Blue Shield,281,294,330,306,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
CHAMPUS (TRICARE),111,114,95,78,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Commercial Insurance Company,2,2,3,5,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Exclusive Provider Organization (EPO),105,116,114,93,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Health Maintenance Organization,539,542,557,549,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,622,675,653,631,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Medicaid (Medi-Cal),225,278,260,272,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Medicare Part B,1662,1685,1690,1584,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Point of Service (POS),332,338,309,324,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Preferred Provider Organization (PPO),1366,1322,1318,1384,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Self Pay,25,18,23,21,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Veterans Affairs Plan,13,14,14,6,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Workers' Compensation Health Claim,54,52,51,54,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Other,3,3,1,3,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Ambulatory Surgery
Blue Cross/Blue Shield,284,280,241,326,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
CHAMPUS (TRICARE),80,69,79,62,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Commercial Insurance Company,0,0,0,3,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Exclusive Provider Organization (EPO),66,67,53,54,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Health Maintenance Organization,263,250,253,255,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,683,742,748,763,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Medicaid (Medi-Cal),646,567,645,595,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Medicare Part B,527,437,532,514,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Point of Service (POS),70,58,77,76,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Preferred Provider Organization (PPO),318,330,295,342,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Self Pay,5,5,5,3,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Veterans Affairs Plan,18,15,15,11,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Workers' Compensation Health Claim,26,26,28,30,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Other,1,2,3,0,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Other federal program,1,0,0,0,SCRIPPS MERCY HOSPITAL #370744,Ambulatory Surgery
Blue Cross/Blue Shield,9,18,14,12,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Commercial Insurance Company,1,2,0,2,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Health Maintenance Organization,2,1,3,3,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Medicaid (Medi-Cal),3,3,11,11,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Medicare Part B,17,12,29,16,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Veterans Affairs Plan,1,4,0,0,SENECA DISTRICT HOSPITAL #321016,Ambulatory Surgery
Blue Cross/Blue Shield,100,94,100,72,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
CHAMPUS (TRICARE),1,3,1,2,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Commercial Insurance Company,2,6,4,5,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Error/Unknown,0,1,0,0,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Exclusive Provider Organization (EPO),17,1,0,4,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Health Maintenance Organization,55,46,48,67,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,87,74,79,87,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Medicaid (Medi-Cal),25,31,24,26,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Medicare Part B,626,639,675,665,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Point of Service (POS),13,12,13,11,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Preferred Provider Organization (PPO),655,724,689,762,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Self Pay,3,0,4,1,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Veterans Affairs Plan,0,2,0,0,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Workers' Compensation Health Claim,31,20,14,25,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Other,2,1,1,2,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
Blank/Invalid,0,1,0,0,SEQUOIA HOSPITAL #410891,Ambulatory Surgery
CHAMPUS (TRICARE),32,26,29,21,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Commercial Insurance Company,1,1,1,2,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Exclusive Provider Organization (EPO),7,5,8,14,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Health Maintenance Organization,323,221,311,286,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,394,410,416,378,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Medicaid (Medi-Cal),530,712,588,551,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Medicare Part B,236,222,276,221,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Point of Service (POS),15,47,53,41,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Preferred Provider Organization (PPO),105,93,106,92,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Self Pay,1,0,0,0,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Veterans Affairs Plan,10,6,3,3,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Workers' Compensation Health Claim,12,6,4,4,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Other,1,3,0,1,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
Other federal program,2,0,0,1,SHARP CHULA VISTA MEDICAL CENTER #370875,Ambulatory Surgery
CHAMPUS (TRICARE),78,48,34,33,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Commercial Insurance Company,11,1,2,0,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Exclusive Provider Organization (EPO),1,4,2,7,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Health Maintenance Organization,258,153,254,232,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Health Maintenance Organization (HMO) Medicare Risk,167,110,124,174,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Medicaid (Medi-Cal),98,177,88,69,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Medicare Part B,103,100,108,114,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Point of Service (POS),6,19,28,25,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Preferred Provider Organization (PPO),133,91,103,113,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Self Pay,2,0,0,0,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Veterans Affairs Plan,8,4,3,3,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Workers' Compensation Health Claim,8,0,4,5,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Other,0,0,0,1,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
Other Non-federal programs,2,0,0,0,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Ambulatory Surgery
CHAMPUS (TRICARE),25,29,27,28,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS #370695,Ambulatory Surgery
