AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
20 - 29,19,20,13,25,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
30 - 39,45,37,28,38,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
40 - 49,50,46,38,55,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
50 - 59,84,65,68,63,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
60 - 69,36,38,30,40,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
70 - 79,17,16,16,19,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
80 Years +,1,7,0,3,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Ambulatory Surgery
10--19,1,2,3,6,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
20 - 29,38,66,40,49,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
30 - 39,65,82,68,54,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
40 - 49,100,114,136,135,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
50 - 59,219,237,179,225,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
60 - 69,168,170,147,149,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
70 - 79,45,47,49,47,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
80 Years +,13,16,16,22,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Ambulatory Surgery
20 - 29,8,7,3,5,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
30 - 39,10,11,6,5,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
40 - 49,0,2,3,3,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
50 - 59,8,4,4,0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
60 - 69,2,3,3,0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
70 - 79,0,0,1,0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD #190380,Ambulatory Surgery
0 - 9,1,3,3,1,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
10--19,16,15,24,15,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
20 - 29,48,57,49,52,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
30 - 39,114,104,122,107,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
40 - 49,109,132,114,156,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
50 - 59,130,161,117,142,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
60 - 69,213,202,199,196,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
70 - 79,158,175,182,179,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
80 Years +,72,91,67,75,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Ambulatory Surgery
0 - 9,9,11,13,10,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
10--19,40,37,42,32,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
20 - 29,229,202,213,215,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
30 - 39,420,407,433,508,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
40 - 49,669,756,729,774,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
50 - 59,961,1029,917,957,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
60 - 69,1359,1447,1314,1303,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
70 - 79,1078,1170,1210,1118,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
80 Years +,460,529,514,497,ST. AGNES MEDICAL CENTER #100899,Ambulatory Surgery
0 - 9,6,7,2,2,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
10--19,20,19,15,23,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
20 - 29,47,62,77,67,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
30 - 39,114,130,157,115,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
40 - 49,151,160,163,135,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
50 - 59,228,228,211,197,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
60 - 69,265,303,265,260,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
70 - 79,184,192,199,182,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
80 Years +,90,82,74,68,ST. BERNARDINE MEDICAL CENTER #361339,Ambulatory Surgery
0 - 9,0,1,0,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
10--19,14,8,8,10,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
20 - 29,19,19,16,16,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
30 - 39,54,43,41,60,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
40 - 49,86,68,67,72,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
50 - 59,109,77,93,88,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
60 - 69,108,144,127,119,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
70 - 79,82,83,62,74,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
80 Years +,31,23,17,27,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Ambulatory Surgery
10--19,4,0,0,3,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
20 - 29,10,16,10,13,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
30 - 39,26,30,27,17,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
40 - 49,31,38,34,32,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
50 - 59,53,55,64,57,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
60 - 69,52,59,55,41,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
70 - 79,17,13,13,8,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
80 Years +,2,5,3,2,ST. FRANCIS MEDICAL CENTER #190754,Ambulatory Surgery
0 - 9,3,2,4,2,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
10--19,6,2,10,5,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
20 - 29,11,15,14,17,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
30 - 39,34,26,32,33,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
40 - 49,33,35,40,48,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
50 - 59,46,53,82,67,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
60 - 69,116,106,102,122,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
70 - 79,101,90,76,118,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
80 Years +,56,56,60,82,ST. JOHN'S HOSPITAL CAMARILLO #560508,Ambulatory Surgery
Under 1 Year,0,0,0,1,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
0 - 9,4,3,6,3,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
10--19,12,13,10,10,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
20 - 29,56,66,68,49,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
30 - 39,109,123,116,129,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
40 - 49,163,184,196,190,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
50 - 59,317,329,326,304,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
60 - 69,448,475,460,490,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
70 - 79,420,446,449,417,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
80 Years +,230,238,232,224,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Ambulatory Surgery
Under 1 Year,1,0,0,0,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
0 - 9,2,6,10,3,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
10--19,9,18,18,16,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
20 - 29,43,35,26,34,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
30 - 39,100,93,95,95,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
40 - 49,188,179,184,177,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
50 - 59,282,309,257,251,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
60 - 69,533,521,490,464,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
70 - 79,502,507,533,484,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
80 Years +,270,260,277,289,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Ambulatory Surgery
0 - 9,0,3,1,0,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
10--19,8,14,5,6,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
20 - 29,35,67,45,22,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
30 - 39,57,81,71,35,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
40 - 49,110,60,67,62,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
50 - 59,151,109,62,90,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
60 - 69,147,124,96,111,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
70 - 79,99,76,68,66,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
80 Years +,44,27,35,33,ST. LOUISE REGIONAL HOSPITAL #434138,Ambulatory Surgery
0 - 9,1,3,3,10,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
10--19,12,14,13,9,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
20 - 29,56,43,37,25,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
30 - 39,70,67,75,67,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
40 - 49,106,117,130,129,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
50 - 59,237,247,228,176,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
60 - 69,201,209,188,164,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
70 - 79,102,104,104,115,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
80 Years +,23,25,22,33,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Ambulatory Surgery
10--19,5,0,0,2,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
20 - 29,15,10,16,9,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
30 - 39,23,22,27,24,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
40 - 49,29,30,20,30,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
50 - 59,40,20,28,34,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
60 - 69,48,52,32,36,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
70 - 79,34,36,33,39,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
80 Years +,22,18,20,16,ST. ROSE HOSPITAL #010967,Ambulatory Surgery
0 - 9,2,4,0,2,STANFORD HEALTH CARE #430905,Ambulatory Surgery
10--19,189,184,191,173,STANFORD HEALTH CARE #430905,Ambulatory Surgery
20 - 29,784,829,828,796,STANFORD HEALTH CARE #430905,Ambulatory Surgery
30 - 39,1333,1457,1416,1472,STANFORD HEALTH CARE #430905,Ambulatory Surgery
40 - 49,2138,1994,2023,2254,STANFORD HEALTH CARE #430905,Ambulatory Surgery
50 - 59,2721,2661,2616,2730,STANFORD HEALTH CARE #430905,Ambulatory Surgery
60 - 69,3576,3600,3554,3559,STANFORD HEALTH CARE #430905,Ambulatory Surgery
70 - 79,3112,3310,3211,3084,STANFORD HEALTH CARE #430905,Ambulatory Surgery
80 Years +,1178,1287,1223,1161,STANFORD HEALTH CARE #430905,Ambulatory Surgery
0 - 9,2,1,2,1,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
10--19,23,45,40,38,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
20 - 29,71,83,65,88,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
30 - 39,202,215,188,222,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
40 - 49,379,446,427,528,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
50 - 59,585,605,596,724,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
60 - 69,808,904,933,1000,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
70 - 79,810,833,914,935,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
80 Years +,345,373,332,365,STANFORD HEALTH CARE TRI-VALLEY #014050,Ambulatory Surgery
10--19,4,5,1,10,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
20 - 29,29,3,9,41,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
30 - 39,40,17,12,69,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
40 - 49,105,36,37,178,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
50 - 59,208,98,93,399,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
60 - 69,244,112,115,471,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
70 - 79,139,81,69,289,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
80 Years +,41,13,6,60,STANISLAUS SURGICAL HOSPITAL #504038,Ambulatory Surgery
0 - 9,4,0,3,1,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
10--19,18,12,17,19,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
20 - 29,55,57,58,56,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
30 - 39,127,142,127,126,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
40 - 49,270,277,308,271,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
50 - 59,300,395,345,308,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
60 - 69,421,436,429,375,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
70 - 79,274,337,350,269,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
80 Years +,60,74,96,81,STOCKTON SURGERY CENTER #394096,Ambulatory Surgery
Under 1 Year,0,0,1,1,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
0 - 9,52,82,68,64,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
10--19,68,87,88,73,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
20 - 29,60,62,67,86,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
30 - 39,107,123,127,129,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
40 - 49,425,425,418,496,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
50 - 59,672,705,692,791,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
60 - 69,726,840,735,819,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
70 - 79,635,707,660,656,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
80 Years +,295,301,291,293,SURGECENTER OF PALO ALTO #431040,Ambulatory Surgery
Under 1 Year,0,2,0,1,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
0 - 9,68,88,116,63,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
10--19,38,48,51,59,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
20 - 29,49,59,69,64,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
30 - 39,146,117,140,157,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
40 - 49,470,446,444,517,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
50 - 59,659,638,605,655,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
60 - 69,674,655,681,639,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
70 - 79,399,431,366,405,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
80 Years +,111,136,129,120,SURGERY CENTER FREMONT #014344,Ambulatory Surgery
0 - 9,0,0,1,0,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
10--19,7,13,9,8,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
20 - 29,13,11,14,13,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
30 - 39,22,26,13,21,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
40 - 49,49,41,47,60,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
50 - 59,76,56,60,77,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
60 - 69,56,61,40,53,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
70 - 79,27,21,19,12,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
80 Years +,5,3,5,2,SURGERY CENTER LOS ALTOS #434286,Ambulatory Surgery
Under 1 Year,0,1,1,0,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
0 - 9,69,71,74,66,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
10--19,121,85,72,68,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
20 - 29,127,151,148,132,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
30 - 39,278,334,357,346,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
40 - 49,912,907,916,926,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
50 - 59,1158,1198,1158,1340,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
60 - 69,1004,1022,1110,1180,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
70 - 79,634,588,568,567,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
80 Years +,166,148,157,144,SURGERY CENTER MOUNTAIN VIEW #434191,Ambulatory Surgery
10--19,24,29,35,38,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
20 - 29,61,69,51,68,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
30 - 39,117,119,109,133,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
40 - 49,396,406,349,437,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
50 - 59,514,522,494,578,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
60 - 69,419,476,417,497,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
70 - 79,257,309,298,296,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
80 Years +,112,87,106,113,SURGERY CENTER SAN CARLOS #414144,Ambulatory Surgery
20 - 29,6,11,10,5,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
30 - 39,267,255,214,171,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
40 - 49,118,105,113,89,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
50 - 59,15,12,3,2,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
60 - 69,3,12,0,4,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
70 - 79,4,4,0,1,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
80 Years +,1,1,1,0,SURGERY CENTER SAN JOSE #434271,Ambulatory Surgery
10--19,0,2,0,1,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
20 - 29,3,9,8,9,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
30 - 39,7,7,11,13,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
40 - 49,3,10,5,3,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
50 - 59,2,10,5,8,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
60 - 69,16,17,32,11,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
70 - 79,16,20,17,7,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
80 Years +,11,7,7,1,SUTTER AMADOR HOSPITAL #034002,Ambulatory Surgery
Under 1 Year,0,0,1,0,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
0 - 9,7,7,8,3,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
10--19,15,16,7,19,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
20 - 29,21,21,28,20,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
30 - 39,45,63,35,51,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
40 - 49,86,107,92,83,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
50 - 59,152,153,161,163,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
60 - 69,353,331,360,378,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
70 - 79,344,428,421,392,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
80 Years +,110,142,128,116,SUTTER AUBURN FAITH HOSPITAL #310791,Ambulatory Surgery
0 - 9,4,8,4,1,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
10--19,7,8,4,8,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
20 - 29,11,12,9,14,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
30 - 39,33,30,21,36,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
40 - 49,39,43,40,37,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
50 - 59,46,44,44,43,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
60 - 69,89,102,73,97,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
70 - 79,67,94,65,70,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
80 Years +,25,20,17,20,SUTTER COAST HOSPITAL #084001,Ambulatory Surgery
0 - 9,3,13,5,6,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
10--19,19,18,32,34,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
20 - 29,53,68,55,51,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
30 - 39,72,87,83,106,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
40 - 49,105,115,129,126,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
50 - 59,134,138,150,156,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
60 - 69,205,265,230,258,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
70 - 79,239,246,221,249,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
80 Years +,95,74,75,94,SUTTER DAVIS HOSPITAL #574010,Ambulatory Surgery
10--19,2,9,8,5,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
20 - 29,20,27,26,17,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
30 - 39,49,54,47,56,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
40 - 49,121,123,104,106,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
50 - 59,132,132,129,129,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
60 - 69,158,174,152,124,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
70 - 79,123,95,126,121,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
80 Years +,51,50,45,47,SUTTER DELTA MEDICAL CENTER #070934,Ambulatory Surgery
0 - 9,1,0,0,3,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
10--19,1,6,8,4,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
20 - 29,13,17,22,21,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
30 - 39,22,34,30,24,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
40 - 49,39,37,42,38,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
50 - 59,68,63,58,63,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
60 - 69,117,118,133,104,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
70 - 79,118,140,108,135,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
80 Years +,32,46,37,50,SUTTER LAKESIDE HOSPITAL #171395,Ambulatory Surgery
0 - 9,25,26,33,37,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
10--19,42,37,44,64,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
20 - 29,65,89,82,83,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
30 - 39,173,153,156,182,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
40 - 49,368,328,286,362,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
50 - 59,443,442,407,482,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
60 - 69,693,646,588,678,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
70 - 79,875,786,826,875,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
80 Years +,196,162,191,190,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ #444012,Ambulatory Surgery
Under 1 Year,9,16,24,22,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
0 - 9,241,214,264,292,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
10--19,206,187,209,237,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
20 - 29,174,175,194,208,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
30 - 39,343,363,375,415,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
40 - 49,566,597,584,621,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
50 - 59,626,665,741,790,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
60 - 69,924,997,948,1034,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Ambulatory Surgery
