ETHNICITY,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Non Hispanic or Latino Ethnicity,3035,3239,3080,2682,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Unknown,735,436,244,388,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Hispanic or Latino,369,402,399,388,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Non Hispanic or Latino Ethnicity,4053,4268,3979,3774,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Unknown,106,155,149,203,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Hispanic or Latino,4434,4788,4821,4694,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Non Hispanic or Latino Ethnicity,6226,6582,6792,6733,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Not Provided/Blank,3,7,6,2,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Unknown,263,308,307,319,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Hispanic or Latino,9165,9302,9227,8473,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Non Hispanic or Latino Ethnicity,7042,7124,6881,6631,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Unknown,280,262,273,254,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Hispanic or Latino,2875,2832,2656,2823,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Non Hispanic or Latino Ethnicity,5521,5718,5558,5607,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Not Provided/Blank,1,13,14,3,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Unknown,487,522,544,454,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Hispanic or Latino,746,803,842,944,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Non Hispanic or Latino Ethnicity,1720,1897,1840,1973,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Unknown,45,57,41,55,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Hispanic or Latino,3303,3541,3587,3825,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Non Hispanic or Latino Ethnicity,8705,9082,9894,9610,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Not Provided/Blank,1,3,1,1,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Unknown,90,100,93,116,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Hispanic or Latino,1691,1873,1943,1839,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Non Hispanic or Latino Ethnicity,8455,8448,8786,8589,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Unknown,33,54,57,56,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Hispanic or Latino,13892,14007,14949,14441,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Non Hispanic or Latino Ethnicity,12545,12723,13378,12706,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Not Provided/Blank,2,2,3,3,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Unknown,63,54,78,76,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Hispanic or Latino,35,43,65,26,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Non Hispanic or Latino Ethnicity,399,581,697,413,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Unknown,42,68,86,48,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Hispanic or Latino,1209,1271,1228,1264,SEQUOIA HOSPITAL #410891,Emergency Department
Non Hispanic or Latino Ethnicity,3213,3328,3406,3215,SEQUOIA HOSPITAL #410891,Emergency Department
Unknown,8,15,20,15,SEQUOIA HOSPITAL #410891,Emergency Department
Hispanic or Latino,13861,20458,21439,14488,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Non Hispanic or Latino Ethnicity,3740,124,1,7308,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Unknown,312,349,431,497,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Hispanic or Latino,4409,7512,8168,3327,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Non Hispanic or Latino Ethnicity,2604,2,0,4296,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Unknown,93,164,173,193,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Hispanic or Latino,11397,23344,24744,7444,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Non Hispanic or Latino Ethnicity,9452,455,0,16820,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Unknown,637,1037,988,974,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Hispanic or Latino,177,67,18,22,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Non Hispanic or Latino Ethnicity,5290,6126,6359,5989,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Unknown,35,4,2,6,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Hispanic or Latino,1213,1262,1192,1140,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Non Hispanic or Latino Ethnicity,3272,3429,3433,3540,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Unknown,12,6,4,6,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Hispanic or Latino,368,476,396,358,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Non Hispanic or Latino Ethnicity,5491,6374,6159,5644,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Unknown,142,178,196,209,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Hispanic or Latino,5691,6160,5968,6193,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Non Hispanic or Latino Ethnicity,2629,2634,2652,2831,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Unknown,55,63,60,50,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Hispanic or Latino,601,691,603,621,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Non Hispanic or Latino Ethnicity,1458,1621,1707,1567,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Unknown,228,248,243,232,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Hispanic or Latino,2367,2496,2407,2215,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Non Hispanic or Latino Ethnicity,705,664,651,617,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Unknown,7,10,7,6,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Hispanic or Latino,944,987,870,971,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Non Hispanic or Latino Ethnicity,2083,1919,1815,1709,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Not Provided/Blank,0,0,0,5,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Hispanic or Latino,8908,9453,9183,9868,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Non Hispanic or Latino Ethnicity,13676,13985,14015,14368,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Unknown,1401,1311,1424,1669,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Hispanic or Latino,7900,8784,9101,8714,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Non Hispanic or Latino Ethnicity,7679,8510,8797,8895,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Unknown,205,232,200,241,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Hispanic or Latino,9099,9485,9479,9506,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Non Hispanic or Latino Ethnicity,7064,7155,7046,7124,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Unknown,36,41,33,56,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Hispanic or Latino,1740,1998,1875,1760,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Non Hispanic or Latino Ethnicity,5658,5845,5723,5460,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Unknown,27,26,44,27,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Hispanic or Latino,9937,10362,10489,10836,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Non Hispanic or Latino Ethnicity,2515,2732,2559,2698,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Unknown,112,129,118,134,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
Hispanic or Latino,2623,2811,2648,2632,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Non Hispanic or Latino Ethnicity,3574,3509,3855,3918,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Unknown,198,187,262,250,ST. JOHN'S HOSPITAL CAMARILLO #560508,Emergency Department
Hispanic or Latino,9011,9172,8863,9151,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Non Hispanic or Latino Ethnicity,3555,3320,3644,3615,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Unknown,162,130,120,145,ST. JOHNS REGIONAL MEDICAL CENTER #560529,Emergency Department
Hispanic or Latino,9325,9708,9040,8557,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Non Hispanic or Latino Ethnicity,11396,11984,11695,11357,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Unknown,377,414,232,200,ST. JOSEPH'S MEDICAL CENTER OF STOCKTON #391042,Emergency Department
Hispanic or Latino,7070,7386,6778,6655,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Non Hispanic or Latino Ethnicity,2888,2859,2854,2667,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Unknown,112,109,137,109,ST. LOUISE REGIONAL HOSPITAL #434138,Emergency Department
Hispanic or Latino,5133,5385,5449,5682,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Non Hispanic or Latino Ethnicity,5541,6212,6202,6223,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Unknown,27,23,32,24,ST. MARY MEDICAL CENTER - LONG BEACH #190053,Emergency Department
Hispanic or Latino,2761,2795,2814,2888,ST. ROSE HOSPITAL #010967,Emergency Department
Non Hispanic or Latino Ethnicity,2597,2385,2510,2618,ST. ROSE HOSPITAL #010967,Emergency Department
Unknown,37,45,35,54,ST. ROSE HOSPITAL #010967,Emergency Department
Hispanic or Latino,7796,7658,7029,7316,STANFORD HEALTH CARE #430905,Emergency Department
Non Hispanic or Latino Ethnicity,11755,11497,11132,11523,STANFORD HEALTH CARE #430905,Emergency Department
Not Provided/Blank,0,0,0,26,STANFORD HEALTH CARE #430905,Emergency Department
Unknown,369,515,473,549,STANFORD HEALTH CARE #430905,Emergency Department
Hispanic or Latino,1428,1586,1563,1475,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Non Hispanic or Latino Ethnicity,6649,6754,6583,6362,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Unknown,206,291,208,253,STANFORD HEALTH CARE TRI-VALLEY #014050,Emergency Department
Hispanic or Latino,719,804,770,689,SUTTER AMADOR HOSPITAL #034002,Emergency Department
Non Hispanic or Latino Ethnicity,5333,5494,5120,5129,SUTTER AMADOR HOSPITAL #034002,Emergency Department
Unknown,221,269,224,212,SUTTER AMADOR HOSPITAL #034002,Emergency Department
Hispanic or Latino,875,969,951,798,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
Non Hispanic or Latino Ethnicity,5798,6487,6198,5687,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
Unknown,307,304,321,326,SUTTER AUBURN FAITH HOSPITAL #310791,Emergency Department
Hispanic or Latino,513,601,587,559,SUTTER COAST HOSPITAL #084001,Emergency Department
Non Hispanic or Latino Ethnicity,3500,4057,4145,3783,SUTTER COAST HOSPITAL #084001,Emergency Department
Unknown,86,84,96,67,SUTTER COAST HOSPITAL #084001,Emergency Department
Hispanic or Latino,3137,3898,3225,3275,SUTTER DAVIS HOSPITAL #574010,Emergency Department
Non Hispanic or Latino Ethnicity,5212,5729,5167,5366,SUTTER DAVIS HOSPITAL #574010,Emergency Department
Unknown,377,386,402,456,SUTTER DAVIS HOSPITAL #574010,Emergency Department
Hispanic or Latino,4235,4643,4254,4100,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
Non Hispanic or Latino Ethnicity,7792,8174,7709,7754,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
Unknown,232,213,183,234,SUTTER DELTA MEDICAL CENTER #070934,Emergency Department
Hispanic or Latino,1088,1214,1209,1119,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
Non Hispanic or Latino Ethnicity,3890,4156,4379,3909,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
Unknown,95,112,98,112,SUTTER LAKESIDE HOSPITAL #171395,Emergency Department
Hispanic or Latino,7425,7592,6954,7326,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
Non Hispanic or Latino Ethnicity,15967,15832,15340,15871,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
Unknown,755,771,697,768,"SUTTER MEDICAL CENTER, SACRAMENTO #341051",Emergency Department
Hispanic or Latino,4309,4605,4315,4345,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
Non Hispanic or Latino Ethnicity,17043,17751,17325,17085,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
Unknown,925,1003,1018,1074,SUTTER ROSEVILLE MEDICAL CENTER #311000,Emergency Department
Hispanic or Latino,3075,3477,3218,3126,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Non Hispanic or Latino Ethnicity,5107,5371,5559,5390,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Unknown,491,541,508,559,SUTTER SANTA ROSA REGIONAL HOSPITAL #494106,Emergency Department
Hispanic or Latino,2359,2583,2285,2486,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
Non Hispanic or Latino Ethnicity,4722,4734,4572,4731,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
Unknown,195,202,154,165,SUTTER SOLANO MEDICAL CENTER #481094,Emergency Department
Hispanic or Latino,4128,4430,4083,4034,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
Non Hispanic or Latino Ethnicity,5389,5593,5169,5336,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
Unknown,136,152,140,155,SUTTER TRACY COMMUNITY HOSPITAL #391056,Emergency Department
Hispanic or Latino,687,616,702,583,TAHOE FOREST HOSPITAL #291053,Emergency Department
Non Hispanic or Latino Ethnicity,2476,2115,2681,1992,TAHOE FOREST HOSPITAL #291053,Emergency Department
Unknown,14,6,6,6,TAHOE FOREST HOSPITAL #291053,Emergency Department
Hispanic or Latino,2532,2633,2784,2764,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
Non Hispanic or Latino Ethnicity,6382,6534,6456,6673,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
Unknown,353,384,418,382,TEMECULA VALLEY HOSPITAL #334564,Emergency Department
Hispanic or Latino,8514,8651,8672,9136,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Non Hispanic or Latino Ethnicity,11144,11431,11425,11898,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Not Provided/Blank,27,30,0,38,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Unknown,766,919,934,961,TORRANCE MEMORIAL MEDICAL CENTER #190422,Emergency Department
Hispanic or Latino,3492,3693,3839,3815,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Non Hispanic or Latino Ethnicity,5163,5681,5773,5661,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Not Provided/Blank,0,0,6,0,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Unknown,67,80,114,142,TRI-CITY MEDICAL CENTER #370780,Emergency Department
Hispanic or Latino,58,66,77,57,TRINITY HOSPITAL #531059,Emergency Department
Non Hispanic or Latino Ethnicity,1175,1259,1272,1175,TRINITY HOSPITAL #531059,Emergency Department
Unknown,37,76,83,65,TRINITY HOSPITAL #531059,Emergency Department
Hispanic or Latino,5943,5398,6425,6269,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Non Hispanic or Latino Ethnicity,15484,13181,15344,15025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Unknown,351,418,524,520,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER #370782,Emergency Department
Hispanic or Latino,4435,4732,4867,4807,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Non Hispanic or Latino Ethnicity,4325,4431,4489,4512,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Unknown,113,174,101,146,UCI HEALTH-FOUNTAIN VALLEY #301175,Emergency Department
Hispanic or Latino,3935,3893,3801,3754,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Non Hispanic or Latino Ethnicity,3941,3879,4023,4101,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Unknown,53,53,53,108,UCI HEALTH-LAKEWOOD #190240,Emergency Department
Hispanic or Latino,1736,1736,1665,1731,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Non Hispanic or Latino Ethnicity,4953,5053,5208,5322,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Unknown,191,147,185,119,UCI HEALTH-LOS ALAMITOS #301248,Emergency Department
Hispanic or Latino,2446,2545,2403,2594,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Non Hispanic or Latino Ethnicity,3895,3974,4047,3983,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Unknown,46,43,63,70,UCI HEALTH-PLACENTIA LINDA #301297,Emergency Department
Hispanic or Latino,4294,3850,4006,4180,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Non Hispanic or Latino Ethnicity,8525,7427,8535,8138,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Unknown,553,432,590,806,UCLA WEST VALLEY MEDICAL CENTER #190859,Emergency Department
Hispanic or Latino,5781,5002,3818,4962,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Non Hispanic or Latino Ethnicity,4471,4301,3525,4446,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Not Provided/Blank,3,3,0,1,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Unknown,100,113,72,98,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND #010776,Emergency Department
Hispanic or Latino,798,859,809,778,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Non Hispanic or Latino Ethnicity,4533,4053,4296,4301,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Unknown,49,41,49,97,UCSF HEALTH - SAINT FRANCIS HOSPITAL #380960,Emergency Department
Hispanic or Latino,274,254,297,283,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Non Hispanic or Latino Ethnicity,2710,2674,2659,3027,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Unknown,28,46,23,26,UCSF HEALTH - ST. MARY'S HOSPITAL #380965,Emergency Department
Hispanic or Latino,2278,2203,1934,2201,UCSF MEDICAL CENTER #381154,Emergency Department
Non Hispanic or Latino Ethnicity,7862,7928,7681,8195,UCSF MEDICAL CENTER #381154,Emergency Department
Not Provided/Blank,38,21,12,56,UCSF MEDICAL CENTER #381154,Emergency Department
Unknown,251,265,235,244,UCSF MEDICAL CENTER #381154,Emergency Department
Hispanic or Latino,4977,5216,4911,5036,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Non Hispanic or Latino Ethnicity,12197,12163,12262,12362,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Unknown,684,649,570,504,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER #341006,Emergency Department
Hispanic or Latino,5805,5971,6044,5538,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Non Hispanic or Latino Ethnicity,5612,5727,5505,5518,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Unknown,132,132,152,158,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER #301279,Emergency Department
Hispanic or Latino,4527,4613,4539,4468,USC ARCADIA HOSPITAL #190529,Emergency Department
Non Hispanic or Latino Ethnicity,5140,5366,5350,5395,USC ARCADIA HOSPITAL #190529,Emergency Department
Unknown,111,188,154,128,USC ARCADIA HOSPITAL #190529,Emergency Department
Hispanic or Latino,1208,1095,1064,1111,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Non Hispanic or Latino Ethnicity,4392,3966,3973,3900,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Unknown,126,147,165,164,USC VERDUGO HILLS HOSPITAL #190818,Emergency Department
Hispanic or Latino,17561,18420,15256,17906,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Non Hispanic or Latino Ethnicity,4828,4958,4584,5266,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Unknown,170,191,159,196,VALLEY CHILDREN'S HOSPITAL #204019,Emergency Department
Hispanic or Latino,9133,9339,9662,10038,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Non Hispanic or Latino Ethnicity,3117,2970,3113,3095,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Unknown,85,16,13,13,VALLEY PRESBYTERIAN HOSPITAL #190812,Emergency Department
Hispanic or Latino,8226,9150,8988,8969,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Non Hispanic or Latino Ethnicity,3062,3270,3138,3172,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Unknown,202,213,255,307,VENTURA COUNTY MEDICAL CENTER #560481,Emergency Department
Hispanic or Latino,3761,3759,3797,3901,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
Non Hispanic or Latino Ethnicity,3939,4147,4037,3950,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
Unknown,18,19,25,15,VICTOR VALLEY GLOBAL MEDICAL CENTER #361370,Emergency Department
Hispanic or Latino,3054,3224,3087,3155,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Non Hispanic or Latino Ethnicity,8701,8851,8530,8723,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Not Provided/Blank,14,33,26,43,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Unknown,80,37,41,29,WASHINGTON HOSPITAL - FREMONT #010987,Emergency Department
Hispanic or Latino,5591,6010,6056,5830,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
Non Hispanic or Latino Ethnicity,2128,1973,2096,2027,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
Unknown,8,8,6,15,WATSONVILLE COMMUNITY HOSPITAL #444013,Emergency Department
Hispanic or Latino,2688,2801,2845,2887,WEST ANAHEIM MEDICAL CENTER #301379,Emergency Department
Non Hispanic or Latino Ethnicity,3535,3292,3508,3455,WEST ANAHEIM MEDICAL CENTER #301379,Emergency Department
Unknown,25,17,14,36,WEST ANAHEIM MEDICAL CENTER #301379,Emergency Department
Hispanic or Latino,4148,4326,4319,5131,WHITTIER HOSPITAL MEDICAL CENTER #190883,Emergency Department
Non Hispanic or Latino Ethnicity,2323,2370,2186,2385,WHITTIER HOSPITAL MEDICAL CENTER #190883,Emergency Department
Unknown,132,194,170,235,WHITTIER HOSPITAL MEDICAL CENTER #190883,Emergency Department
Hispanic or Latino,3139,3835,3381,3129,WOODLAND MEMORIAL HOSPITAL #571086,Emergency Department
Non Hispanic or Latino Ethnicity,3225,3793,3536,3313,WOODLAND MEMORIAL HOSPITAL #571086,Emergency Department
Unknown,130,214,129,54,WOODLAND MEMORIAL HOSPITAL #571086,Emergency Department
