EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Medicare Part B,530,518,579,661,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Preferred Provider Organization (PPO),197,218,197,234,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Self Pay,453,532,510,532,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Veterans Affairs Plan,91,92,75,95,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Workers' Compensation Health Claim,62,78,71,56,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Other Non-federal programs,54,62,58,69,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Commercial Insurance Company,870,1025,1089,964,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,419,555,620,509,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Medicaid (Medi-Cal),7825,7920,8140,7843,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Medicare Part B,590,601,617,573,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Self Pay,510,663,802,661,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Workers' Compensation Health Claim,79,88,90,86,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Other,90,108,76,9,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Other Non-federal programs,674,746,883,773,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Blue Cross/Blue Shield,185,166,188,137,SAN MATEO MEDICAL CENTER #410782,Emergency Department
CHAMPUS (TRICARE),1,2,1,1,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Commercial Insurance Company,305,323,320,258,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Health Maintenance Organization,0,2,1,0,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,403,402,431,338,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Medicaid (Medi-Cal),7734,8223,7534,7127,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Medicare Part B,374,385,389,315,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Preferred Provider Organization (PPO),1,1,0,0,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Self Pay,554,526,561,678,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Veterans Affairs Plan,10,4,7,3,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Workers' Compensation Health Claim,4,7,5,2,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Other,119,159,152,87,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Other Non-federal programs,360,341,315,194,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Automobile Medical,3,2,7,1,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Blue Cross/Blue Shield,1,1,2,1,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
CHAMPUS (TRICARE),34,30,47,37,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Commercial Insurance Company,19,20,16,20,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Exclusive Provider Organization (EPO),4,4,13,2,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Health Maintenance Organization,595,686,640,561,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,360,342,308,332,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Medicaid (Medi-Cal),881,939,905,852,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Medicare Part B,821,888,839,826,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Point of Service (POS),298,299,252,260,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Preferred Provider Organization (PPO),1305,1387,1224,1217,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Self Pay,144,153,191,185,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Title V,5,0,0,0,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Veterans Affairs Plan,1,1,3,3,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Workers' Compensation Health Claim,44,46,58,51,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Other,0,1,3,0,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Other Non-federal programs,13,26,19,17,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
CHAMPUS (TRICARE),3,7,10,3,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Commercial Insurance Company,76,80,88,83,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Health Maintenance Organization,64,87,102,96,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1345,1404,1479,1414,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Medicaid (Medi-Cal),4353,4640,4557,4391,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Medicare Part B,2723,2859,2986,2914,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Point of Service (POS),6,2,2,5,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Preferred Provider Organization (PPO),1796,1943,1950,2188,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Self Pay,289,360,415,342,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Workers' Compensation Health Claim,120,142,152,149,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Other,3,2,5,4,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Other federal program,148,159,180,159,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Automobile Medical,2,5,4,4,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Blue Cross/Blue Shield,201,224,331,319,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
CHAMPUS (TRICARE),0,0,15,17,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Commercial Insurance Company,756,859,1275,1210,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Health Maintenance Organization,2473,2557,199,204,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,143,146,0,0,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Medicaid (Medi-Cal),8641,8405,9759,8926,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Medicare Part A,14,8,10,13,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Medicare Part B,1549,1621,1568,1470,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Point of Service (POS),198,206,185,170,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Preferred Provider Organization (PPO),323,349,558,611,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Self Pay,1154,1292,1553,1367,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Title V,3,5,0,0,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Veterans Affairs Plan,20,6,0,1,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Workers' Compensation Health Claim,136,134,165,138,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Other,171,15,326,296,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Other federal program,0,0,0,4,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Other Non-federal programs,703,856,433,608,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
CHAMPUS (TRICARE),29,28,36,30,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Commercial Insurance Company,249,210,258,232,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Health Maintenance Organization,1210,1260,1188,1201,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,386,434,417,442,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Medicaid (Medi-Cal),3239,3222,2969,3189,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Medicare Part B,1122,1142,1198,1192,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Preferred Provider Organization (PPO),1923,1980,1894,1924,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Self Pay,573,635,666,525,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Veterans Affairs Plan,4,3,5,6,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Workers' Compensation Health Claim,129,143,111,128,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Other,4,8,11,4,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Other federal program,0,1,0,0,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Other Non-federal programs,16,19,19,14,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
CHAMPUS (TRICARE),1,1,3,1,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Commercial Insurance Company,10,19,14,26,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Health Maintenance Organization,17,16,27,27,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,331,376,363,371,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Medicaid (Medi-Cal),695,746,703,839,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Medicare Part B,819,897,891,913,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Point of Service (POS),1,0,0,1,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Preferred Provider Organization (PPO),455,497,521,565,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Self Pay,81,75,76,80,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Workers' Compensation Health Claim,51,74,68,76,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Other federal program,50,56,57,73,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Blue Cross/Blue Shield,512,583,563,585,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
CHAMPUS (TRICARE),274,293,246,321,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Commercial Insurance Company,35,29,58,46,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Exclusive Provider Organization (EPO),123,104,124,124,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Health Maintenance Organization,926,933,1051,1125,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,919,1016,1104,1019,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Medicaid (Medi-Cal),3582,3831,3900,3902,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Medicare Part B,2239,2181,2364,2426,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Point of Service (POS),607,680,722,622,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Preferred Provider Organization (PPO),2381,2528,2848,2793,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Self Pay,293,364,374,394,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Veterans Affairs Plan,99,83,104,102,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Workers' Compensation Health Claim,93,83,105,80,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Other,16,15,6,9,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Other federal program,0,3,6,4,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Blue Cross/Blue Shield,414,413,414,431,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
CHAMPUS (TRICARE),246,234,252,220,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Commercial Insurance Company,35,31,42,35,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Exclusive Provider Organization (EPO),140,116,127,138,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Health Maintenance Organization,856,836,857,819,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,765,702,717,698,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Medicaid (Medi-Cal),2535,2693,2759,2612,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Medicare Part B,1935,2033,2060,2200,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Point of Service (POS),477,565,613,534,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Preferred Provider Organization (PPO),2219,2217,2348,2290,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Self Pay,331,308,357,335,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Veterans Affairs Plan,74,65,82,55,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Workers' Compensation Health Claim,134,144,145,106,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Other,13,15,10,8,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Other federal program,5,3,3,3,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Blue Cross/Blue Shield,981,929,945,876,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
CHAMPUS (TRICARE),363,412,386,416,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Commercial Insurance Company,51,53,51,41,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Exclusive Provider Organization (EPO),144,152,155,157,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Health Maintenance Organization,1361,1487,1469,1463,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,3209,3325,3628,3350,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Medicaid (Medi-Cal),14589,14556,15573,14820,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Medicare Part B,2011,2056,2166,2119,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Point of Service (POS),351,373,401,378,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Preferred Provider Organization (PPO),1618,1673,1749,1723,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Self Pay,1161,1191,1200,1183,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Veterans Affairs Plan,273,232,259,233,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Workers' Compensation Health Claim,168,172,183,188,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Other,91,73,108,114,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Other federal program,131,102,135,165,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Blue Cross/Blue Shield,109,147,169,70,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Commercial Insurance Company,19,41,89,26,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Health Maintenance Organization,17,44,63,27,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Medicaid (Medi-Cal),147,212,201,146,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Medicare Part B,146,186,232,153,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Self Pay,20,32,40,40,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Veterans Affairs Plan,13,11,28,18,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Workers' Compensation Health Claim,5,19,25,7,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Other,0,0,1,0,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Blue Cross/Blue Shield,114,162,149,131,SEQUOIA HOSPITAL #410891,Emergency Department
CHAMPUS (TRICARE),5,7,5,10,SEQUOIA HOSPITAL #410891,Emergency Department
Commercial Insurance Company,22,29,23,20,SEQUOIA HOSPITAL #410891,Emergency Department
Error/Unknown,4,1,2,4,SEQUOIA HOSPITAL #410891,Emergency Department
Exclusive Provider Organization (EPO),18,3,7,7,SEQUOIA HOSPITAL #410891,Emergency Department
Health Maintenance Organization,153,122,148,164,SEQUOIA HOSPITAL #410891,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,321,307,349,341,SEQUOIA HOSPITAL #410891,Emergency Department
Medicaid (Medi-Cal),1196,1237,1211,1234,SEQUOIA HOSPITAL #410891,Emergency Department
Medicare Part A,1,0,0,0,SEQUOIA HOSPITAL #410891,Emergency Department
Medicare Part B,934,1060,1067,952,SEQUOIA HOSPITAL #410891,Emergency Department
Point of Service (POS),43,46,73,68,SEQUOIA HOSPITAL #410891,Emergency Department
Preferred Provider Organization (PPO),1418,1394,1391,1343,SEQUOIA HOSPITAL #410891,Emergency Department
Self Pay,154,174,161,161,SEQUOIA HOSPITAL #410891,Emergency Department
Veterans Affairs Plan,3,2,3,6,SEQUOIA HOSPITAL #410891,Emergency Department
Workers' Compensation Health Claim,40,67,59,49,SEQUOIA HOSPITAL #410891,Emergency Department
Other federal program,0,1,0,0,SEQUOIA HOSPITAL #410891,Emergency Department
Other Non-federal programs,1,0,3,1,SEQUOIA HOSPITAL #410891,Emergency Department
Blank/Invalid,3,2,3,3,SEQUOIA HOSPITAL #410891,Emergency Department
Automobile Medical,2,7,4,5,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Blue Cross/Blue Shield,8,0,0,0,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
CHAMPUS (TRICARE),621,667,690,752,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Commercial Insurance Company,30,46,32,42,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Exclusive Provider Organization (EPO),64,93,99,84,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Health Maintenance Organization,2297,2152,3614,3669,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,2405,3135,3227,3301,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Medicaid (Medi-Cal),7759,10264,9295,9510,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Medicare Part B,1557,2169,2201,2215,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Point of Service (POS),69,300,303,290,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Preferred Provider Organization (PPO),1507,1266,1581,1517,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Self Pay,919,0,0,0,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Veterans Affairs Plan,167,124,128,137,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Workers' Compensation Health Claim,230,236,219,259,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Other,11,14,18,20,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Other federal program,150,178,212,264,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Other Non-federal programs,117,280,248,228,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Automobile Medical,6,4,5,10,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Blue Cross/Blue Shield,4,0,0,0,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
CHAMPUS (TRICARE),366,401,421,461,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Commercial Insurance Company,42,33,45,32,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Exclusive Provider Organization (EPO),16,24,30,22,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Health Maintenance Organization,845,725,1198,1126,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,682,775,851,738,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Medicaid (Medi-Cal),3217,3794,3525,3432,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Medicare Part B,746,868,942,853,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Point of Service (POS),12,102,135,104,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Preferred Provider Organization (PPO),683,659,860,706,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Self Pay,256,0,0,0,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Veterans Affairs Plan,35,42,32,47,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Workers' Compensation Health Claim,131,87,75,72,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Other,7,8,9,9,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Other federal program,33,44,51,51,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Other Non-federal programs,25,112,162,153,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Automobile Medical,2,9,7,8,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Blue Cross/Blue Shield,11,0,0,0,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
CHAMPUS (TRICARE),484,526,492,538,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Commercial Insurance Company,57,87,89,68,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Disability,5,0,0,0,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Exclusive Provider Organization (EPO),60,86,118,109,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Health Maintenance Organization,4653,3490,5780,5618,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,3439,4002,4180,4095,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Medicaid (Medi-Cal),6648,9940,7758,7714,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Medicare Part B,2367,3146,3394,3128,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Point of Service (POS),138,544,583,629,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Preferred Provider Organization (PPO),2560,2492,2794,2818,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Self Pay,573,0,0,0,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Title V,1,0,0,0,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Veterans Affairs Plan,181,139,145,137,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Workers' Compensation Health Claim,268,324,353,324,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Other,13,14,7,14,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Other federal program,9,7,4,10,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Other Non-federal programs,17,30,28,28,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Medicaid (Medi-Cal),2744,3284,3089,2998,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Medicare Part B,1602,1680,1928,1728,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Preferred Provider Organization (PPO),796,881,894,886,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Self Pay,235,218,317,244,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Workers' Compensation Health Claim,69,79,88,82,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Other,38,46,47,65,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Other Non-federal programs,18,9,16,14,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Automobile Medical,0,0,4,0,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Blue Cross/Blue Shield,0,0,1,0,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
CHAMPUS (TRICARE),5,10,9,8,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Commercial Insurance Company,4,4,1,2,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Exclusive Provider Organization (EPO),45,56,49,55,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Health Maintenance Organization,100,100,125,103,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,290,311,325,321,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Medicaid (Medi-Cal),2500,2527,2461,2532,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Medicare Part B,596,634,657,681,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Point of Service (POS),36,28,31,20,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Preferred Provider Organization (PPO),690,794,713,723,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Self Pay,183,180,210,179,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Title V,1,0,0,0,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Workers' Compensation Health Claim,47,53,43,62,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Blue Cross/Blue Shield,30,58,64,63,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
CHAMPUS (TRICARE),38,59,51,46,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Commercial Insurance Company,23,25,25,22,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Exclusive Provider Organization (EPO),32,15,13,28,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Health Maintenance Organization,326,392,386,316,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,556,617,640,612,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Medicaid (Medi-Cal),2586,2882,2674,2452,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Medicare Part B,1402,1742,1624,1578,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Point of Service (POS),1,2,0,1,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Preferred Provider Organization (PPO),606,716,707,616,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Self Pay,122,210,204,185,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Veterans Affairs Plan,105,115,154,101,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Workers' Compensation Health Claim,77,101,99,80,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
