AGE GROUPS,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
40 - 49,1184,1227,1314,1248,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
50 - 59,983,1115,1045,1072,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
60 - 69,1042,1115,1208,1160,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
70 - 79,910,891,892,957,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
80 Years +,774,796,806,815,SAN GORGONIO MEMORIAL HOSPITAL #331326,Emergency Department
Under 1 Year,336,287,301,310,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
-,2,2,0,1,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
1--9,1183,1269,1078,1148,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
10--19,1096,1151,1203,1173,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
20 - 29,1949,2010,2211,1948,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
30 - 39,1977,2095,2186,2009,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
40 - 49,1520,1584,1712,1618,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
50 - 59,1234,1276,1416,1314,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
60 - 69,1072,1232,1408,1149,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
70 - 79,443,514,565,492,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
80 Years +,245,286,237,256,SAN JOAQUIN GENERAL HOSPITAL #391010,Emergency Department
Under 1 Year,128,108,111,127,SAN MATEO MEDICAL CENTER #410782,Emergency Department
1--9,663,673,528,598,SAN MATEO MEDICAL CENTER #410782,Emergency Department
10--19,793,880,818,749,SAN MATEO MEDICAL CENTER #410782,Emergency Department
20 - 29,1863,2070,1958,1746,SAN MATEO MEDICAL CENTER #410782,Emergency Department
30 - 39,2021,2064,1954,1823,SAN MATEO MEDICAL CENTER #410782,Emergency Department
40 - 49,1706,1772,1703,1471,SAN MATEO MEDICAL CENTER #410782,Emergency Department
50 - 59,1357,1352,1277,1214,SAN MATEO MEDICAL CENTER #410782,Emergency Department
60 - 69,933,1045,959,787,SAN MATEO MEDICAL CENTER #410782,Emergency Department
70 - 79,416,424,406,441,SAN MATEO MEDICAL CENTER #410782,Emergency Department
80 Years +,170,153,190,184,SAN MATEO MEDICAL CENTER #410782,Emergency Department
Under 1 Year,52,49,41,50,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
1--9,351,382,271,357,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
10--19,466,575,468,472,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
20 - 29,434,405,434,372,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
30 - 39,559,546,553,497,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
40 - 49,549,606,617,537,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
50 - 59,567,614,543,555,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
60 - 69,539,568,554,506,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
70 - 79,503,541,524,502,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
80 Years +,508,539,522,517,SAN RAMON REGIONAL MEDICAL CENTER #074017,Emergency Department
Under 1 Year,221,225,224,225,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
-,6,5,5,5,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
1--9,801,897,737,923,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
10--19,915,950,997,1110,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
20 - 29,1423,1523,1571,1593,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
30 - 39,1412,1523,1542,1435,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
40 - 49,1217,1356,1398,1221,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
50 - 59,1210,1295,1381,1224,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
60 - 69,1364,1460,1495,1360,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
70 - 79,1246,1313,1346,1415,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
80 Years +,1111,1138,1230,1237,SANTA BARBARA COTTAGE HOSPITAL #420514,Emergency Department
Under 1 Year,394,374,356,328,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
-,4,2,7,8,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
1--9,1247,1303,909,1102,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
10--19,1180,1171,1098,1176,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
20 - 29,2789,2875,2907,2506,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
30 - 39,3051,3103,3027,2810,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
40 - 49,2311,2414,2379,2210,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
50 - 59,2318,2241,2297,2122,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
60 - 69,1918,1860,2023,1716,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
70 - 79,865,908,878,868,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
80 Years +,410,437,500,512,SANTA CLARA VALLEY MEDICAL CENTER #430883,Emergency Department
Under 1 Year,165,130,152,152,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
-,1,1,2,4,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
1--9,800,696,594,845,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
10--19,697,773,686,722,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
20 - 29,1145,1205,1078,1118,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
30 - 39,1495,1635,1567,1436,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
40 - 49,1175,1224,1203,1080,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
50 - 59,1120,1109,1120,1150,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
60 - 69,1008,1013,1046,1004,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
70 - 79,740,721,758,770,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
80 Years +,538,578,566,606,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL #190687,Emergency Department
Under 1 Year,46,32,31,55,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
1--9,182,223,207,238,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
10--19,193,245,229,210,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
20 - 29,217,216,256,247,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
30 - 39,286,282,269,341,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
40 - 49,247,270,266,304,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
50 - 59,279,274,272,288,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
60 - 69,324,397,400,398,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
70 - 79,369,399,413,485,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
80 Years +,368,419,380,406,SANTA YNEZ VALLEY COTTAGE HOSPITAL #420522,Emergency Department
Under 1 Year,104,100,114,135,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
-,1,0,0,2,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
1--9,568,617,618,749,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
10--19,900,1005,1035,1075,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
20 - 29,1446,1639,1749,1742,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
30 - 39,1580,1739,1889,1806,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
40 - 49,1488,1556,1589,1606,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
50 - 59,1494,1544,1649,1540,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
60 - 69,1606,1623,1672,1658,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
70 - 79,1557,1557,1695,1723,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
80 Years +,1355,1346,1565,1516,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS #371394,Emergency Department
Under 1 Year,25,17,21,27,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
-,2,3,4,6,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
1--9,139,133,118,156,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
10--19,500,539,547,553,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
20 - 29,1474,1548,1696,1550,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
30 - 39,1501,1581,1717,1580,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
40 - 49,1335,1301,1378,1357,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
50 - 59,1305,1418,1331,1264,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
60 - 69,1444,1363,1387,1322,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
70 - 79,1166,1198,1232,1257,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
80 Years +,1288,1274,1355,1412,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA #370771,Emergency Department
Under 1 Year,178,166,166,143,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
-,13,6,8,8,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
1--9,726,664,728,816,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
10--19,1319,1364,1383,1542,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
20 - 29,4575,4622,4899,4531,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
30 - 39,5200,5092,5326,5053,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
40 - 49,3814,3835,4265,4010,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
50 - 59,3721,3661,3826,3522,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
60 - 69,3306,3499,3558,3568,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
70 - 79,2159,2303,2549,2384,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
80 Years +,1491,1574,1700,1649,SCRIPPS MERCY HOSPITAL #370744,Emergency Department
Under 1 Year,5,7,5,1,SENECA DISTRICT HOSPITAL #321016,Emergency Department
1--9,44,57,67,30,SENECA DISTRICT HOSPITAL #321016,Emergency Department
10--19,34,57,69,22,SENECA DISTRICT HOSPITAL #321016,Emergency Department
20 - 29,43,53,80,35,SENECA DISTRICT HOSPITAL #321016,Emergency Department
30 - 39,49,60,85,55,SENECA DISTRICT HOSPITAL #321016,Emergency Department
40 - 49,48,81,79,52,SENECA DISTRICT HOSPITAL #321016,Emergency Department
50 - 59,54,82,84,38,SENECA DISTRICT HOSPITAL #321016,Emergency Department
60 - 69,89,121,130,108,SENECA DISTRICT HOSPITAL #321016,Emergency Department
70 - 79,74,94,152,87,SENECA DISTRICT HOSPITAL #321016,Emergency Department
80 Years +,36,80,97,59,SENECA DISTRICT HOSPITAL #321016,Emergency Department
Under 1 Year,31,35,42,37,SEQUOIA HOSPITAL #410891,Emergency Department
-,0,1,0,0,SEQUOIA HOSPITAL #410891,Emergency Department
1--9,310,315,227,306,SEQUOIA HOSPITAL #410891,Emergency Department
10--19,358,395,329,338,SEQUOIA HOSPITAL #410891,Emergency Department
20 - 29,437,502,503,495,SEQUOIA HOSPITAL #410891,Emergency Department
30 - 39,507,570,590,573,SEQUOIA HOSPITAL #410891,Emergency Department
40 - 49,528,490,484,488,SEQUOIA HOSPITAL #410891,Emergency Department
50 - 59,544,490,567,530,SEQUOIA HOSPITAL #410891,Emergency Department
60 - 69,559,561,579,501,SEQUOIA HOSPITAL #410891,Emergency Department
70 - 79,523,600,651,576,SEQUOIA HOSPITAL #410891,Emergency Department
80 Years +,633,655,682,650,SEQUOIA HOSPITAL #410891,Emergency Department
Under 1 Year,143,161,195,197,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
-,0,1,0,0,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
1--9,944,857,885,1091,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
10--19,1347,1427,1593,1645,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
20 - 29,2866,3172,3301,3365,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
30 - 39,2946,3238,3381,3376,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
40 - 49,2235,2627,2726,2722,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
50 - 59,2253,2601,2764,2677,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
60 - 69,2206,2793,2900,2888,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
70 - 79,1663,2186,2195,2304,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
80 Years +,1310,1868,1931,2028,SHARP CHULA VISTA MEDICAL CENTER #370875,Emergency Department
Under 1 Year,29,23,29,25,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
1--9,249,242,256,314,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
10--19,548,536,572,573,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
20 - 29,1237,1300,1342,1282,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
30 - 39,1258,1396,1435,1385,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
40 - 49,1099,1111,1271,1149,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
50 - 59,940,997,1147,986,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
60 - 69,772,904,1016,901,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
70 - 79,528,614,637,585,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
80 Years +,446,555,636,616,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER #370689,Emergency Department
Under 1 Year,18,24,18,22,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
blank,2,0,0,0,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
1--9,110,136,114,139,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
10--19,823,848,983,983,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
20 - 29,3347,3803,3853,3776,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
30 - 39,3789,3922,4113,3988,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
40 - 49,3037,3355,3515,3543,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
50 - 59,2861,3441,3294,3386,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
60 - 69,3075,3715,3805,3577,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
70 - 79,2381,3019,3201,3104,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
80 Years +,2043,2573,2836,2720,SHARP MEMORIAL HOSPITAL #370694,Emergency Department
Under 1 Year,20,41,20,24,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
1--9,256,381,272,291,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
10--19,497,589,550,574,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
20 - 29,610,748,788,774,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
30 - 39,1008,1076,1092,1012,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
40 - 49,803,841,967,876,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
50 - 59,749,795,844,776,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
60 - 69,684,786,851,793,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
70 - 79,513,518,588,489,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
80 Years +,362,422,407,408,SHASTA REGIONAL MEDICAL CENTER #450940,Emergency Department
Under 1 Year,17,20,25,17,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
1--9,205,175,173,205,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
10--19,286,306,264,326,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
20 - 29,761,804,840,826,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
30 - 39,952,962,910,916,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
40 - 49,683,727,711,709,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
50 - 59,613,584,595,581,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
60 - 69,451,516,494,486,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
70 - 79,302,367,356,350,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
80 Years +,227,236,261,270,SHERMAN OAKS HOSPITAL  #190708,Emergency Department
Under 1 Year,69,76,60,65,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
1--9,450,509,392,382,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
10--19,466,566,544,484,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
20 - 29,588,646,648,611,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
30 - 39,873,1053,946,932,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
40 - 49,725,742,839,655,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
50 - 59,588,729,729,550,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
60 - 69,764,950,868,908,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
70 - 79,838,956,956,919,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
80 Years +,640,801,769,705,SIERRA NEVADA MEMORIAL HOSPITAL #291023,Emergency Department
Under 1 Year,264,224,241,242,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
1--9,1179,1272,1038,1282,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
10--19,1070,1169,1118,1196,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
20 - 29,1260,1349,1393,1349,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
30 - 39,1133,1301,1251,1389,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
40 - 49,956,1072,1001,1060,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
50 - 59,858,883,869,868,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
60 - 69,779,718,852,768,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
70 - 79,496,522,563,561,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
80 Years +,380,347,354,359,SIERRA VIEW MEDICAL CENTER #540798,Emergency Department
Under 1 Year,24,19,33,24,SONOMA VALLEY HOSPITAL #491076,Emergency Department
1--9,169,208,149,152,SONOMA VALLEY HOSPITAL #491076,Emergency Department
10--19,203,233,213,198,SONOMA VALLEY HOSPITAL #491076,Emergency Department
20 - 29,222,233,230,204,SONOMA VALLEY HOSPITAL #491076,Emergency Department
30 - 39,225,229,228,219,SONOMA VALLEY HOSPITAL #491076,Emergency Department
40 - 49,238,257,254,208,SONOMA VALLEY HOSPITAL #491076,Emergency Department
50 - 59,199,239,244,224,SONOMA VALLEY HOSPITAL #491076,Emergency Department
60 - 69,288,338,310,328,SONOMA VALLEY HOSPITAL #491076,Emergency Department
70 - 79,327,389,472,436,SONOMA VALLEY HOSPITAL #491076,Emergency Department
80 Years +,392,415,420,427,SONOMA VALLEY HOSPITAL #491076,Emergency Department
Under 1 Year,17,5,8,8,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
1--9,116,112,93,98,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
10--19,239,272,261,266,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
20 - 29,580,663,580,556,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
30 - 39,630,627,645,579,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
40 - 49,518,524,524,483,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
50 - 59,443,433,446,409,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
60 - 69,325,346,317,248,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
70 - 79,137,130,126,112,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
80 Years +,74,58,65,79,SOUTH COAST GLOBAL MEDICAL CENTER #301258,Emergency Department
Under 1 Year,8,5,4,7,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
1--9,81,43,44,77,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
10--19,152,179,116,148,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
20 - 29,558,494,488,515,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
30 - 39,631,614,547,530,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
40 - 49,467,413,412,372,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
50 - 59,420,442,417,365,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
60 - 69,386,400,365,378,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
70 - 79,192,198,185,164,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
80 Years +,132,118,107,129,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY #190110,Emergency Department
Under 1 Year,788,738,747,801,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
1--9,3471,3395,2749,3891,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
10--19,2763,2910,2789,3271,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
20 - 29,3524,3762,3806,3783,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
30 - 39,3761,3987,4221,3949,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
40 - 49,2807,2843,2941,2850,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
50 - 59,2176,2218,2247,2274,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
60 - 69,2091,2191,2262,2245,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
70 - 79,1418,1538,1591,1581,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
80 Years +,1186,1167,1269,1260,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL #334068,Emergency Department
Under 1 Year,58,41,54,64,ST. AGNES MEDICAL CENTER #100899,Emergency Department
-,2,0,1,2,ST. AGNES MEDICAL CENTER #100899,Emergency Department
1--9,272,304,252,260,ST. AGNES MEDICAL CENTER #100899,Emergency Department
10--19,860,998,984,1007,ST. AGNES MEDICAL CENTER #100899,Emergency Department
20 - 29,3177,3582,3651,3569,ST. AGNES MEDICAL CENTER #100899,Emergency Department
30 - 39,3036,3380,3519,3281,ST. AGNES MEDICAL CENTER #100899,Emergency Department
40 - 49,2321,2545,2568,2595,ST. AGNES MEDICAL CENTER #100899,Emergency Department
50 - 59,1955,2133,2302,2184,ST. AGNES MEDICAL CENTER #100899,Emergency Department
60 - 69,1824,2136,2183,2159,ST. AGNES MEDICAL CENTER #100899,Emergency Department
70 - 79,1202,1345,1473,1461,ST. AGNES MEDICAL CENTER #100899,Emergency Department
80 Years +,1077,1062,1111,1268,ST. AGNES MEDICAL CENTER #100899,Emergency Department
Under 1 Year,190,227,209,216,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
1--9,1265,1298,1019,1436,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
10--19,1399,1436,1316,1491,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
20 - 29,2555,2665,2585,2565,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
30 - 39,2867,3032,3006,2988,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
40 - 49,2328,2379,2415,2241,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
50 - 59,2041,2092,2260,2044,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
60 - 69,1984,1939,2061,2000,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
70 - 79,985,1097,1063,1078,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
80 Years +,585,516,624,627,ST. BERNARDINE MEDICAL CENTER #361339,Emergency Department
Under 1 Year,171,163,156,131,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
-,0,0,1,0,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
1--9,876,1102,819,895,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
10--19,824,951,849,865,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
20 - 29,896,939,1034,943,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
30 - 39,1100,1127,1088,1018,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
40 - 49,859,878,909,826,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
50 - 59,788,785,768,702,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
60 - 69,790,829,923,774,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
70 - 79,668,589,614,606,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
80 Years +,453,506,481,487,ST. ELIZABETH COMMUNITY HOSPITAL #521041,Emergency Department
Under 1 Year,243,309,280,304,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
-,0,0,1,0,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
1--9,1196,1236,968,1291,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
10--19,1308,1385,1404,1550,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
20 - 29,2486,2642,2697,2809,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
30 - 39,2413,2512,2629,2572,ST. FRANCIS MEDICAL CENTER #190754,Emergency Department
